instant,dateday,season,year,month,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,count
1,2011-01-01,Spring,2011,January,0,Saturday,0,2,23720.333807,45453.12499999999,805833.0000000001,48256.220298,331,654,985
2,2011-01-02,Spring,2011,January,0,Sunday,0,2,25051.267238,44217.37500000001,696087.0,74751.335257,131,670,801
3,2011-01-03,Spring,2011,January,0,Monday,1,1,13533.603244000002,23675.625,437272.99999999994,74682.159767,120,1229,1349
4,2011-01-04,Spring,2011,January,0,Tuesday,1,1,13784.200000000003,26515.249999999996,590435.0,48211.105848,108,1454,1562
5,2011-01-05,Spring,2011,January,0,Wednesday,1,1,15642.103397,28658.749999999996,436957.0,56212.60470000001,82,1518,1600
6,2011-01-06,Spring,2011,January,0,Thursday,1,1,14083.868508,29151.125,518260.99999999994,26937.8982476,88,1518,1606
7,2011-01-07,Spring,2011,January,0,Friday,1,2,13544.492762,26104.875,498696.0,50746.537937999994,148,1362,1510
8,2011-01-08,Spring,2011,January,0,Saturday,0,2,11371.965,20281.75,535833.0,80244.771452,68,891,959
9,2011-01-09,Spring,2011,January,0,Sunday,0,1,9534.048693,14521.875,434167.0000000001,108861.16785000001,54,768,822
10,2011-01-10,Spring,2011,January,0,Monday,1,1,10395.561193,18861.0,482917.0,67150.452721,41,1280,1321
11,2011-01-11,Spring,2011,January,0,Tuesday,1,2,11653.920811,23933.0,686364.0,36732.78671600001,43,1220,1263
12,2011-01-12,Spring,2011,January,0,Wednesday,1,1,11904.517566999999,20059.125,599545.0,91620.530401,25,1137,1162
13,2011-01-13,Spring,2011,January,0,Thursday,1,1,11371.965,18860.375,470417.0,90529.66299999999,38,1368,1406
14,2011-01-14,Spring,2011,January,0,Friday,1,1,11087.321270000002,23551.625,537826.0,38060.956124000004,54,1367,1421
15,2011-01-15,Spring,2011,January,0,Saturday,0,2,16081.543693,31014.0,498750.0,47509.425768999994,222,1026,1248
16,2011-01-16,Spring,2011,January,0,Sunday,0,1,15966.721307,29277.125,483750.0,56673.674379,251,953,1204
17,2011-01-17,Spring,2011,January,1,Monday,0,2,12118.586193,22096.375000000004,537500.0,58353.134971,117,883,1000
18,2011-01-18,Spring,2011,January,0,Tuesday,1,2,14932.906307000001,29041.625,861666.9999999998,44144.489324999995,9,674,683
19,2011-01-19,Spring,2011,January,0,Wednesday,1,2,20136.924254,37302.75,741739.0,62654.045870999995,78,1572,1650
20,2011-01-20,Spring,2011,January,0,Thursday,1,2,18034.351306999997,31881.25,538332.9999999999,58920.674752,83,1844,1927
21,2011-01-21,Spring,2011,January,0,Friday,1,1,12233.477499999999,19729.125000000004,457083.0,106242.12364600001,75,1468,1543
22,2011-01-22,Spring,2011,January,0,Saturday,0,1,4075.3262984000003,9883.7,400000.0,51722.213110000004,93,888,981
23,2011-01-23,Spring,2011,January,0,Sunday,0,1,6652.3720857,12354.8875,436522.0,74168.15580000001,150,836,986
24,2011-01-24,Spring,2011,January,0,Monday,1,1,6712.305787300001,14741.25,491738.99999999994,47619.80579,86,1330,1416
25,2011-01-25,Spring,2011,January,0,Tuesday,1,2,15402.327238000002,29315.750000000004,616957.0,39037.834348,186,1799,1985
26,2011-01-26,Spring,2011,January,0,Wednesday,1,3,14990.317500000001,25450.0,862500.0,88379.20755,34,472,506
27,2011-01-27,Spring,2011,January,0,Thursday,1,1,13439.595000000001,27462.5,687500.0,34237.957631,15,416,431
28,2011-01-28,Spring,2011,January,0,Friday,1,2,14023.907237999998,27914.624999999996,793043.0000000001,37084.077900000004,38,1129,1167
29,2011-01-29,Spring,2011,January,0,Saturday,0,1,13544.492762,26515.750000000004,651738.9999999999,43720.41349499999,123,975,1098
30,2011-01-30,Spring,2011,January,0,Sunday,0,1,14922.912762,31290.249999999996,722174.0,22251.2287238,140,956,1096
31,2011-01-31,Spring,2011,January,0,Monday,1,2,12463.191193,23281.25,603750.0,56300.427496000004,42,1459,1501
32,2011-02-01,Spring,2011,February,0,Tuesday,1,2,13244.824254000001,29316.249999999996,829565.0000000001,16004.501519,47,1313,1360
33,2011-02-02,Spring,2011,February,0,Wednesday,1,2,17919.46,31802.125,775417.0000000001,79494.067004,72,1454,1526
34,2011-02-03,Spring,2011,February,0,Thursday,1,1,12885.263397,22234.75,437826.0,83537.52477599999,61,1489,1550
35,2011-02-04,Spring,2011,February,0,Friday,1,2,14563.282984,28573.375000000004,585216.9999999999,38449.241157000004,88,1620,1708
36,2011-02-05,Spring,2011,February,0,Saturday,0,2,16081.543693,30382.25,929166.9999999998,48446.603277,100,905,1005
37,2011-02-06,Spring,2011,February,0,Sunday,0,1,19699.896193,36458.875,568332.9999999999,42648.193400000004,354,1269,1623
38,2011-02-07,Spring,2011,February,0,Monday,1,1,18723.561307,37957.25,738333.0000000001,13657.1365329,120,1592,1712
39,2011-02-08,Spring,2011,February,0,Tuesday,1,1,15220.031192999999,24780.75,537917.0,108861.16785000001,64,1466,1530
40,2011-02-09,Spring,2011,February,0,Wednesday,1,2,9289.379142999998,18035.375,494783.0,56795.784157,53,1552,1605
41,2011-02-10,Spring,2011,February,0,Thursday,1,1,9948.608508,18693.499999999996,437391.0,66749.836405,47,1491,1538
42,2011-02-11,Spring,2011,February,0,Friday,1,1,13032.340811000002,26688.625,506364.00000000006,32647.82365,149,1597,1746
43,2011-02-12,Spring,2011,February,0,Saturday,0,1,15334.9225,29119.25,544167.0,61165.269021,288,1184,1472
44,2011-02-13,Spring,2011,February,0,Sunday,0,1,21815.012762000002,40514.12499999999,457391.0,78463.95372899999,397,1192,1589
45,2011-02-14,Spring,2011,February,0,Monday,1,1,28602.215,49793.75,375832.99999999994,125691.263804,208,1705,1913
46,2011-02-15,Spring,2011,February,0,Tuesday,1,1,18338.982127000003,31784.249999999996,314348.00000000006,87634.518362,140,1675,1815
47,2011-02-16,Spring,2011,February,0,Wednesday,1,1,21934.866381000003,39524.99999999999,423478.0,75729.416533,218,1897,2115
48,2011-02-17,Spring,2011,February,0,Thursday,1,1,30038.046193,53582.25,505000.0,69206.769352,259,2216,2475
49,2011-02-18,Spring,2011,February,0,Friday,1,1,35953.811307,63997.875,516667.0,79679.63777500001,579,2348,2927
50,2011-02-19,Spring,2011,February,0,Saturday,0,1,27510.988806999994,48925.5,187916.99999999997,152626.094269,532,1103,1635
51,2011-02-20,Spring,2011,February,0,Sunday,0,1,19657.440856999998,34666.25,407826.0,67140.828305,639,1173,1812
52,2011-02-21,Spring,2011,February,1,Monday,0,2,20906.013693000004,35509.37500000001,605000.0,92588.68649800001,195,912,1107
53,2011-02-22,Spring,2011,February,0,Tuesday,1,1,12558.922462,23254.125000000004,577778.0,58854.206129,74,1376,1450
54,2011-02-23,Spring,2011,February,0,Wednesday,1,1,15282.473618999999,30714.625,423042.99999999994,28305.708219000004,139,1778,1917
55,2011-02-24,Spring,2011,February,0,Thursday,1,2,20376.631492000004,36148.875,697390.9999999999,75339.92844799999,100,1707,1807
56,2011-02-25,Spring,2011,February,0,Friday,1,2,25111.228508000004,43807.625,712174.0,104226.10925699999,120,1341,1461
57,2011-02-26,Spring,2011,February,0,Saturday,0,1,19470.1825,35274.0,537917.0,56113.65367299999,424,1545,1969
58,2011-02-27,Spring,2011,February,0,Sunday,0,1,23672.847238000002,43888.625,680000.0,37669.964223999996,694,1708,2402
59,2011-02-28,Spring,2011,February,0,Monday,1,2,28069.662432999998,50014.74999999999,876364.0000000001,87126.83041799998,81,1365,1446
60,2011-03-01,Spring,2011,March,0,Tuesday,1,1,18378.956307,32984.875,535000.0,65092.632275,137,1714,1851
61,2011-03-02,Spring,2011,March,0,Wednesday,1,1,23088.535000000003,40008.875,449583.0,92584.776579,231,1903,2134
62,2011-03-03,Spring,2011,March,0,Thursday,1,1,13669.308693,25016.625000000004,318333.0,67898.45030200001,123,1562,1685
63,2011-03-04,Spring,2011,March,0,Friday,1,2,18034.351306999997,31959.875,610417.0,61158.95299799999,214,1730,1944
64,2011-03-05,Spring,2011,March,0,Saturday,0,2,26477.173807,47347.37499999999,789166.9999999999,75753.477573,640,1437,2077
65,2011-03-06,Spring,2011,March,0,Sunday,0,2,25950.272762,45781.5,948261.0,103248.027981,114,491,605
66,2011-03-07,Spring,2011,March,0,Monday,1,1,18039.313619,29807.625,551304.0,102666.05157600001,244,1628,1872
67,2011-03-08,Spring,2011,March,0,Tuesday,1,1,20159.392499999998,37800.0,420833.0,36287.055949999994,316,1817,2133
68,2011-03-09,Spring,2011,March,0,Wednesday,1,2,20389.106193,35826.0,775417.0000000001,66212.97445000001,191,1700,1891
69,2011-03-10,Spring,2011,March,0,Thursday,1,3,26816.540811,48208.5,0.0,78762.912151,46,577,623
70,2011-03-11,Spring,2011,March,0,Friday,1,2,21815.012762000002,38125.0,649564.9999999999,70068.75611,247,1730,1977
71,2011-03-12,Spring,2011,March,0,Saturday,0,1,22686.518806999997,40718.74999999999,594582.9999999999,66400.951325,724,1408,2132
72,2011-03-13,Spring,2011,March,0,Sunday,0,1,26489.648508000002,47511.37500000001,527391.0000000001,81387.670852,982,1435,2417
73,2011-03-14,Spring,2011,March,0,Monday,1,1,22414.280856999998,41500.00000000001,496957.0,41182.274538,359,1687,2046
74,2011-03-15,Spring,2011,March,0,Tuesday,1,2,21874.905111,39772.25,655652.0,55433.327767,289,1767,2056
75,2011-03-16,Spring,2011,March,0,Wednesday,1,2,25171.120857,45866.25,776522.0000000001,61090.078271,321,1871,2192
76,2011-03-17,Spring,2011,March,0,Thursday,1,1,28602.215,51291.625,602917.0000000001,63033.60877699999,424,2320,2744
77,2011-03-18,Spring,2011,March,0,Friday,1,1,37217.340000000004,65876.125,525217.0,69481.365971,884,2355,3239
78,2011-03-19,Spring,2011,March,0,Saturday,0,1,32565.172499999997,58315.625,379167.0,110731.011421,1424,1693,3117
79,2011-03-20,Spring,2011,March,0,Sunday,0,1,22916.232500000002,40718.74999999999,473750.0,62474.791123,1047,1424,2471
80,2011-03-21,Summer,2011,March,0,Monday,1,2,29666.010635,51216.87500000001,737391.0000000001,86855.241429,401,1676,2077
81,2011-03-22,Summer,2011,March,0,Tuesday,1,1,30440.131306999996,55080.25,624583.0,67897.24725000001,460,2243,2703
82,2011-03-23,Summer,2011,March,0,Wednesday,1,2,23912.623397000003,42242.375,839565.0000000001,70457.04114300001,203,1918,2121
83,2011-03-24,Summer,2011,March,0,Thursday,1,2,19642.484999999997,33854.125,805833.0000000001,73322.109481,166,1699,1865
84,2011-03-25,Summer,2011,March,0,Friday,1,1,18206.653807,32039.0,495000.0,69393.543175,300,1910,2210
85,2011-03-26,Summer,2011,March,0,Saturday,0,1,18321.476193,32196.375,394167.0,63031.202673,981,1515,2496
86,2011-03-27,Summer,2011,March,0,Sunday,0,2,17439.976603000003,31292.375,493913.0,55430.620899999994,472,1221,1693
